relation_semantique	forme_complete	GN1	GN2
r_lieu	gare de Lyon	gare	Lyon
r_lieu	pont d'Avignon	pont	Avignon
r_lieu	château de Versailles	château	Versailles
r_lieu	plage de Nice	plage	Nice
r_lieu	forêt des Ardennes	forêt	Ardennes
r_lieu	désert du Sahara	désert	Sahara
r_lieu	restaurant du coin	restaurant	coin
r_lieu	boulangerie du quartier	boulangerie	quartier
r_lieu	marché de Noël	marché	Noël
r_lieu	festival de Cannes	festival	Cannes
r_lieu	université de Montpellier	université	Montpellier
r_lieu	aéroport de Roissy	aéroport	Roissy
r_lieu	hôpital de la ville	hôpital	ville
r_lieu	bibliothèque du campus	bibliothèque	campus
r_lieu	stade de France	stade	France
r_lieu	théâtre de l'Odéon	théâtre	Odéon
r_lieu	cathédrale de Reims	cathédrale	Reims
r_lieu	jardin du Luxembourg	jardin	Luxembourg
r_lieu	place de la Concorde	place	Concorde
r_lieu	rue de Rivoli	rue	Rivoli
r_lieu	parc de la Tête-d’Or	parc	Tête-d’Or
r_lieu	église de Saint-Malo	église	Saint-Malo
r_lieu	port de Marseille	port	Marseille
r_lieu	station de Châtelet	station	Châtelet
r_lieu	quartier de Montmartre	quartier	Montmartre
r_lieu	avenue des Champs-Élysées	avenue	Champs-Élysées
r_lieu	hôtel de Londres	hôtel	Londres
r_lieu	temple de Kyoto	temple	Kyoto
r_lieu	monument de Berlin	monument	Berlin
r_lieu	forteresse de Dubrovnik	forteresse	Dubrovnik
r_lieu	université d’Oxford	université	Oxford
r_lieu	école de Tokyo	école	Tokyo
r_lieu	vallée de la Loire	vallée	Loire
r_lieu	montagne des Alpes	montagne	Alpes
r_lieu	lac de Genève	lac	Genève
r_lieu	rivière de l’Amazone	rivière	Amazone
r_lieu	île de Madère	île	Madère
r_lieu	continent de l’Asie	continent	Asie
r_lieu	mer Méditerranée	mer	Méditerranée
r_lieu	océan Atlantique	océan	Atlantique
r_lieu	péninsule Ibérique	péninsule	Ibérique
r_lieu	canyon du Colorado	canyon	Colorado
r_lieu	volcan de l’Etna	volcan	Etna
r_lieu	grotte de Lascaux	grotte	Lascaux
r_lieu	cascade du Niagara	cascade	Niagara
r_lieu	chutes d’Iguazú	chutes	Iguazú
r_lieu	jungle de Bornéo	jungle	Bornéo
r_lieu	plaine du Serengeti	plaine	Serengeti
r_lieu	savane africaine	savane	Africane
r_lieu	colline de Fourvière	colline	Fourvière
r_lieu	ruines de Pompéi	ruines	Pompéi
r_lieu	thermes de Caracalla	thermes	Caracalla
r_lieu	basilique de Saint-Marc	basilique	Saint-Marc
r_lieu	marché de Marrakech	marché	Marrakech
r_lieu	souk de Tunis	souk	Tunis
r_lieu	quartier de Harlem	quartier	Harlem
r_lieu	harbor de Sydney	harbor	Sydney
r_lieu	frontière du Canada	frontière	Canada
r_lieu	réserve du Yellowstone	réserve	Yellowstone
r_lieu	station des Alpes	station	Alpes
r_lieu	campagne de Toscane	campagne	Toscane
r_lieu	centre de Bruxelles	centre	Bruxelles
r_lieu	bourg de Saint-Émilion	bourg	Saint-Émilion
r_lieu	commune de Chartres	commune	Chartres
r_lieu	village de Gordes	village	Gordes
r_lieu	hameau de La Clusaz	hameau	La Clusaz
r_lieu	route de Bretagne	route	Bretagne
r_lieu	autoroute du Sud	autoroute	Sud
r_lieu	district de Manhattan	district	Manhattan
r_lieu	province du Québec	province	Québec
r_lieu	état du Nevada	état	Nevada
r_lieu	région du Piémont	région	Piémont
r_lieu	territoire du Yukon	territoire	Yukon
r_lieu	parc de Yellowstone	parc	Yellowstone
r_lieu	domaine de Chambord	domaine	Chambord
r_lieu	sanctuaire de Fushimi	sanctuaire	Fushimi
r_lieu	canal de Panama	canal	Panama
r_lieu	champ de bataille de Verdun	champ	Verdun
r_lieu	bay de San Francisco	bay	San Francisco
r_lieu	plaine de Gizeh	plaine	Gizeh
r_lieu	place du Capitole	place	Capitole
r_lieu	jardin de Boboli	jardin	Boboli
r_lieu	rivage de Bretagne	rivage	Bretagne
r_lieu	rade de Toulon	rade	Toulon
r_lieu	abîme de Padirac	abîme	Padirac
r_lieu	musée du Prado	musée	Prado
r_lieu	chapelle Sixtine	chapelle	Sixtine
r_lieu	cathédrale de Milan	cathédrale	Milan
r_lieu	cinéma du centre	cinéma	centre
r_lieu	bibliothèque de Turin	bibliothèque	Turin
r_lieu	observatoire de Meudon	observatoire	Meudon
r_lieu	théâtre de Marseille	théâtre	Marseille
r_lieu	cirque de Gavarnie	cirque	Gavarnie
r_lieu	département de l’Ain	département	Ain
r_lieu	mairie de Toulouse	mairie	Toulouse
r_processus_agent	travail de l'ouvrier	travail	ouvrier
r_processus_agent	chant de l'oiseau	chant	oiseau
r_processus_agent	course du cheval	course	cheval
r_processus_agent	discours du président	discours	président
r_processus_agent	décision du juge	décision	juge
r_processus_agent	création de l'artiste	création	artiste
r_processus_agent	recherche du scientifique	recherche	scientifique
r_processus_agent	performance de l'acteur	performance	acteur
r_processus_agent	intervention du médecin	intervention	médecin
r_processus_agent	témoignage du suspect	témoignage	suspect
r_processus_agent	analyse de l'expert	analyse	expert
r_processus_agent	rapport du comptable	rapport	comptable
r_processus_agent	enseignement du professeur	enseignement	professeur
r_processus_agent	construction du maçon	construction	maçon
r_processus_agent	cuisine du chef	cuisine	chef
r_processus_agent	plaidoirie de l'avocat	plaidoirie	avocat
r_processus_agent	diagnostic du médecin	diagnostic	médecin
r_processus_agent	enquête du détective	enquête	détective
r_processus_agent	prédiction de l'analyste	prédiction	analyste
r_processus_agent	commentaire du journaliste	commentaire	journaliste
r_processus_agent	récital du pianiste	récital	pianiste
r_processus_agent	interprétation du chanteur	interprétation	chanteur
r_processus_agent	discours de l’orateur	discours	orateur
r_processus_agent	sermon du prêtre	sermon	prêtre
r_processus_agent	prière du moine	prière	moine
r_processus_agent	manœuvre du pilote	manœuvre	pilote
r_processus_agent	stratégie du général	stratégie	général
r_processus_agent	attaque du guerrier	attaque	guerrier
r_processus_agent	défense du gardien	défense	gardien
r_processus_agent	score du joueur	score	joueur
r_processus_agent	prise du photographe	prise	photographe
r_processus_agent	capture du chasseur	capture	chasseur
r_processus_agent	traque du loup	traque	loup
r_processus_agent	poème du barde	poème	barde
r_processus_agent	étude du sociologue	étude	sociologue
r_processus_agent	mesure du technicien	mesure	technicien
r_processus_agent	contrôle de l’ingénieur	contrôle	ingénieur
r_processus_agent	inspection de l’agent	inspection	agent
r_processus_agent	calcul du mathématicien	calcul	mathématicien
r_processus_agent	expérience du physicien	expérience	physicien
r_processus_agent	simulation de l’informaticien	simulation	informaticien
r_processus_agent	programmation du développeur	programmation	développeur
r_processus_agent	montage du monteur	montage	monteur
r_processus_agent	réalisation du réalisateur	réalisation	réalisateur
r_processus_agent	cadrage du caméraman	cadrage	caméraman
r_processus_agent	réglage du technicien	réglage	technicien
r_processus_agent	édition de l’éditeur	édition	éditeur
r_processus_agent	publication du journaliste	publication	journaliste
r_processus_agent	soin du vétérinaire	soin	vétérinaire
r_processus_agent	opération du chirurgien	opération	chirurgien
r_processus_agent	traitement du thérapeute	traitement	thérapeute
r_processus_agent	surveillance de l’infirmière	surveillance	infirmière
r_processus_agent	examen du dermatologue	examen	dermatologue
r_processus_agent	consultation du spécialiste	consultation	spécialiste
r_processus_agent	pronostic du médecin	pronostic	médecin
r_processus_agent	rééducation du kinésithérapeute	rééducation	kinésithérapeute
r_processus_agent	évaluation du psychologue	évaluation	psychologue
r_processus_agent	interprétation du radiologue	interprétation	radiologue
r_processus_agent	arrestation du policier	arrestation	policier
r_processus_agent	poursuite de l’agent	poursuite	agent
r_processus_agent	protection du garde	protection	garde
r_processus_agent	condamnation du tribunal	condamnation	tribunal
r_processus_agent	verdict du jury	verdict	jury
r_processus_agent	négociation du diplomate	négociation	diplomate
r_processus_agent	déclaration du ministre	déclaration	ministre
r_processus_agent	annonce du porte-parole	annonce	porte-parole
r_processus_agent	débat du parlementaire	débat	parlementaire
r_processus_agent	argumentation de l’avocat	argumentation	avocat
r_processus_agent	survol de l’hélicoptère	survol	hélicoptère
r_processus_agent	progression de l’escorte	progression	escorte
r_processus_agent	patrouille du soldat	patrouille	soldat
r_processus_agent	manœuvre du sous-marin	manœuvre	sous-marin
r_processus_agent	atterrissage du pilote	atterrissage	pilote
r_processus_agent	amerrissage du commandant	amerrissage	commandant
r_processus_agent	dragage du navire	dragage	navire
r_processus_agent	propulsion de la fusée	propulsion	fusée
r_processus_agent	largage du parachutiste	largage	parachutiste
r_processus_agent	ascension du grimpeur	ascension	grimpeur
r_processus_agent	plantation du jardinier	plantation	jardinier
r_processus_agent	irrigation du fermier	irrigation	fermier
r_processus_agent	récolte de l’agriculteur	récolte	agriculteur
r_processus_agent	taillage du vigneron	taillage	vigneron
r_processus_agent	pressage du meunier	pressage	meunier
r_processus_agent	fermentation du brasseur	fermentation	brasseur
r_processus_agent	malaxage du boulanger	malaxage	boulanger
r_processus_agent	affinage du fromager	affinage	fromager
r_processus_agent	séchage du tanneur	séchage	tanneur
r_processus_agent	forge du forgeron	forge	forgeron
r_processus_agent	nettoyage de la femme de ménage	nettoyage	femme de ménage
r_processus_agent	balayage du concierge	balayage	concierge
r_processus_agent	livraison du coursier	livraison	coursier
r_processus_agent	réparation du mécanicien	réparation	mécanicien
r_processus_agent	assemblage de l’ouvrier	assemblage	ouvrier
r_processus_agent	démolition de l’équipe	démolition	équipe
r_processus_agent	rénovation du peintre	rénovation	peintre
r_processus_agent	pose du carreleur	pose	carreleur
r_processus_agent	retrait du déménageur	retrait	déménageur
r_processus_agent	installation de l’électricien	installation	électricien
r_processus_patient	destruction de la ville	destruction	ville
r_processus_patient	réparation de la voiture	réparation	voiture
r_processus_patient	nettoyage du sol	nettoyage	sol
r_processus_patient	ouverture de la porte	ouverture	porte
r_processus_patient	fermeture du magasin	fermeture	magasin
r_processus_patient	coupe du bois	coupe	bois
r_processus_patient	lavage de la voiture	lavage	voiture
r_processus_patient	cuisson du pain	cuisson	pain
r_processus_patient	lecture du livre	lecture	livre
r_processus_patient	écriture du texte	écriture	texte
r_processus_patient	traduction du document	traduction	document
r_processus_patient	transformation de la matière	transformation	matière
r_processus_patient	démolition du bâtiment	démolition	bâtiment
r_processus_patient	restauration du tableau	restauration	tableau
r_processus_patient	entretien du jardin	entretien	jardin
r_processus_patient	analyse du sang	analyse	sang
r_processus_patient	examen du dossier	examen	dossier
r_processus_patient	vérification des comptes	vérification	comptes
r_processus_patient	correction du texte	correction	texte
r_processus_patient	validation du projet	validation	projet
r_processus_patient	assemblage de la machine	assemblage	machine
r_processus_patient	polissage du métal	polissage	métal
r_processus_patient	calibrage de l’instrument	calibrage	instrument
r_processus_patient	réglage de l’appareil	réglage	appareil
r_processus_patient	installation du logiciel	installation	logiciel
r_processus_patient	test du prototype	test	prototype
r_processus_patient	stérilisation du matériel	stérilisation	matériel
r_processus_patient	désinfection de la surface	désinfection	surface
r_processus_patient	réfrigération des aliments	réfrigération	aliments
r_processus_patient	congélation de la viande	congélation	viande
r_processus_patient	traitement de l’eau	traitement	eau
r_processus_patient	filtration du liquide	filtration	liquide
r_processus_patient	mélange des ingrédients	mélange	ingrédients
r_processus_patient	pétrissage de la pâte	pétrissage	pâte
r_processus_patient	fusion du métal	fusion	métal
r_processus_patient	assemblage des pièces	assemblage	pièces
r_processus_patient	tri des déchets	tri	déchets
r_processus_patient	compactage des cartons	compactage	cartons
r_processus_patient	emballage du produit	emballage	produit
r_processus_patient	stockage des marchandises	stockage	marchandises
r_processus_patient	transport des colis	transport	colis
r_processus_patient	acheminement du courrier	acheminement	courrier
r_processus_patient	chargement du camion	chargement	camion
r_processus_patient	déchargement des caisses	déchargement	caisses
r_processus_patient	ventilation de la pièce	ventilation	pièce
r_processus_patient	aération du local	aération	local
r_processus_patient	assainissement de l’eau	assainissement	eau
r_processus_patient	oxygénation du bassin	oxygénation	bassin
r_processus_patient	réparation de la clôture	réparation	clôture
r_processus_patient	pose du carrelage	pose	carrelage
r_processus_patient	peinture du mur	peinture	mur
r_processus_patient	décapage du sol	décapage	sol
r_processus_patient	brossage du tapis	brossage	tapis
r_processus_patient	rinçage du linge	rinçage	linge
r_processus_patient	pliage des vêtements	pliage	vêtements
r_processus_patient	repassage des chemises	repassage	chemises
r_processus_patient	tri du courrier	tri	courrier
r_processus_patient	relecture du document	relecture	document
r_processus_patient	impression du dossier	impression	dossier
r_processus_patient	gravure du disque	gravure	disque
r_processus_patient	numérisation du fichier	numérisation	fichier
r_processus_patient	sauvegarde des données	sauvegarde	données
r_processus_patient	cryptage du message	cryptage	message
r_processus_patient	compression de l’archive	compression	archive
r_processus_patient	amplification du signal	amplification	signal
r_processus_patient	duplication du support	duplication	support
r_processus_patient	étalonnage du capteur	étalonnage	capteur
r_processus_patient	activation du système	activation	système
r_processus_patient	désactivation des alarmes	désactivation	alarmes
r_processus_patient	remplissage du réservoir	remplissage	réservoir
r_processus_patient	vidange du moteur	vidange	moteur
r_processus_patient	lubrification des pièces	lubrification	pièces
r_processus_patient	refroidissement du moteur	refroidissement	moteur
r_processus_patient	étanchéification du toit	étanchéification	toit
r_processus_patient	isolation du mur	isolation	mur
r_processus_patient	renforcement de la structure	renforcement	structure
r_processus_patient	lissage du béton	lissage	béton
r_processus_patient	colmatage de la fissure	colmatage	fissure
r_processus_patient	remplacement de la vitre	remplacement	vitre
r_processus_patient	réparation de la serrure	réparation	serrure
r_processus_patient	nettoyage des vitres	nettoyage	vitres
r_processus_patient	déneigement du trottoir	déneigement	trottoir
r_processus_patient	ramassage des feuilles	ramassage	feuilles
r_processus_patient	tonte de la pelouse	tonte	pelouse
r_processus_patient	arrosage des plantes	arrosage	plantes
r_processus_patient	taille de la haie	taille	haie
r_processus_patient	fertilisation du sol	fertilisation	sol
r_processus_patient	enrichissement du terreau	enrichissement	terreau
r_processus_patient	désherbage du jardin	désherbage	jardin
r_processus_patient	ensemencement du champ	ensemencement	champ
r_processus_patient	irrigation du champ	irrigation	champ
r_processus_patient	épandage de l’engrais	épandage	engrais
r_processus_patient	protection des cultures	protection	cultures
r_processus_patient	tri des semences	tri	semences
r_processus_patient	moisson du blé	moisson	blé
r_processus_patient	broyage du grain	broyage	grain
r_processus_patient	pulvérisation du produit	pulvérisation	produit
r_processus_patient	détection de la fuite	détection	fuite
r_processus_patient	localisation du problème	localisation	problème
r_processus_patient	résolution du bug	résolution	bug
r_processus>instr-1	clé de la porte	clé	porte
r_processus>instr-1	marteau du menuisier	marteau	menuisier
r_processus>instr-1	stylo de l'écriture	stylo	écriture
r_processus>instr-1	pinceau du peintre	pinceau	peintre
r_processus>instr-1	épée du combat	épée	combat
r_processus>instr-1	outil de travail	outil	travail
r_processus>instr-1	arme du crime	arme	crime
r_processus>instr-1	moyen de transport	moyen	transport
r_processus>instr-1	instrument de musique	instrument	musique
r_processus>instr-1	appareil de mesure	appareil	mesure
r_processus>instr-1	machine de production	machine	production
r_processus>instr-1	logiciel de traitement	logiciel	traitement
r_processus>instr-1	système de sécurité	système	sécurité
r_processus>instr-1	dispositif de contrôle	dispositif	contrôle
r_processus>instr-1	équipement de protection	équipement	protection
r_processus>instr-1	couteau de cuisine	couteau	cuisine
r_processus>instr-1	aiguille de couture	aiguille	couture
r_processus>instr-1	brosse de nettoyage	brosse	nettoyage
r_processus>instr-1	scie de menuisier	scie	menuisier
r_processus>instr-1	balance de pesée	balance	pesée
r_processus>instr-1	clé du cadenas	clé	cadenas
r_processus>instr-1	manivelle du treuil	manivelle	treuil
r_processus>instr-1	levier du mécanisme	levier	mécanisme
r_processus>instr-1	burin de sculpture	burin	sculpture
r_processus>instr-1	perceuse du perçage	perceuse	perçage
r_processus>instr-1	tournevis du montage	tournevis	montage
r_processus>instr-1	clé anglaise du serrage	clé anglaise	serrage
r_processus>instr-1	pince du bricolage	pince	bricolage
r_processus>instr-1	rabot du menuisier	rabot	menuisier
r_processus>instr-1	soufflet de forge	soufflet	forge
r_processus>instr-1	chalumeau de soudure	chalumeau	soudure
r_processus>instr-1	four de cuisson	four	cuisson
r_processus>instr-1	moulin de broyage	moulin	broyage
r_processus>instr-1	fouet du mélange	fouet	mélange
r_processus>instr-1	écumoire de cuisson	écumoire	cuisson
r_processus>instr-1	spatule du glaçage	spatule	glaçage
r_processus>instr-1	louche du service	louche	service
r_processus>instr-1	passoire du filtrage	passoire	filtrage
r_processus>instr-1	tamis du tri	tamis	tri
r_processus>instr-1	entonoir du remplissage	entonoir	remplissage
r_processus>instr-1	aiguille du tricot	aiguille	tricot
r_processus>instr-1	fil de couture	fil	couture
r_processus>instr-1	dé à coudre de couture	dé à coudre	couture
r_processus>instr-1	métier à tisser du tissage	métier à tisser	tissage
r_processus>instr-1	machine à coudre de couture	machine à coudre	couture
r_processus>instr-1	rasoir du rasage	rasoir	rasage
r_processus>instr-1	brosse à dents de brossage	brosse à dents	brossage
r_processus>instr-1	peigne de coiffage	peigne	coiffage
r_processus>instr-1	ustensile de nettoyage	ustensile	nettoyage
r_processus>instr-1	serpillière de lavage	serpillière	lavage
r_processus>instr-1	seau de lavage	seau	lavage
r_processus>instr-1	rouleau de peinture	rouleau	peinture
r_processus>instr-1	vaporisateur de nettoyage	vaporisateur	nettoyage
r_processus>instr-1	canon d’arrosage	arroseur	arrosage
r_processus>instr-1	tuyau d’arrosage	tuyau	arrosage
r_processus>instr-1	arrosoir de jardinage	arrosoir	jardinage
r_processus>instr-1	râteau du jardinage	râteau	jardinage
r_processus>instr-1	pelle du creusage	pelle	creusage
r_processus>instr-1	bêche du jardinage	bêche	jardinage
r_processus>instr-1	houe du labour	houe	labour
r_processus>instr-1	tracteur du labour	tracteur	labour
r_processus>instr-1	sécateur de taille	sécateur	taille
r_processus>instr-1	tronçonneuse de coupe	tronçonneuse	coupe
r_processus>instr-1	faucheuse de récolte	faucheuse	récolte
r_processus>instr-1	hachoir de découpe	hachoir	découpe
r_processus>instr-1	couteau de tranchage	couteau	tranchage
r_processus>instr-1	laser de découpe	laser	découpe
r_processus>instr-1	presse de pressage	presse	pressage
r_processus>instr-1	malaxeur de mélange	malaxeur	mélange
r_processus>instr-1	batteur de fouettage	batteur	fouettage
r_processus>instr-1	laminoir de laminage	laminoir	laminage
r_processus>instr-1	centrifugeuse de séparation	centrifugeuse	séparation
r_processus>instr-1	éprouvette de test	éprouvette	test
r_processus>instr-1	microscope de l’analyse	microscope	analyse
r_processus>instr-1	télescope de l’observation	télescope	observation
r_processus>instr-1	baromètre de mesure	baromètre	mesure
r_processus>instr-1	manomètre de pression	manomètre	pression
r_processus>instr-1	thermomètre de mesure	thermomètre	mesure
r_processus>instr-1	hygromètre d’humidité	hygromètre	humidité
r_processus>instr-1	compas de navigation	compas	navigation
r_processus>instr-1	gouvernail de pilotage	gouvernail	pilotage
r_processus>instr-1	rame de propulsion	rame	propulsion
r_processus>instr-1	antenne de communication	antenne	communication
r_processus>instr-1	routeur du routage	routeur	routage
r_processus>instr-1	modem de connexion	modem	connexion
r_processus>instr-1	clavier de saisie	clavier	saisie
r_processus>instr-1	souris de navigation numérique	souris	navigation
r_processus>instr-1	manette de contrôle	manette	contrôle
r_processus>instr-1	casque d’écoute	casque	écoute
r_processus>instr-1	microphone de capture	microphone	capture
r_processus>instr-1	projecteur de projection	projecteur	projection
r_processus>instr-1	caméra de tournage	caméra	tournage
r_processus>instr-1	trépied de stabilisation	trépied	stabilisation
r_processus>instr-1	enregistreur de son	enregistreur	enregistrement
r_processus>instr-1	amplificateur d’amplification	amplificateur	amplification
r_processus>instr-1	synthétiseur de bande sonore	synthétiseur	bande sonore
r_processus>instr-1	violon de musique	violon	musique
r_processus>instr-1	batterie du rythme	batterie	rythme
r_processus>instr-1	trompette du morceau	trompette	morceau
r_processus>instr-1	accordéon du folklore	accordéon	folklore
r_own-1	voiture de Jean	voiture	Jean
r_own-1	maison de mes parents	maison	mes parents
r_own-1	stylo de Marie	stylo	Marie
r_own-1	ordinateur de l'entreprise	ordinateur	entreprise
r_own-1	jardin du voisin	jardin	voisin
r_own-1	livre de Paul	livre	Paul
r_own-1	montre de ma sœur	montre	ma sœur
r_own-1	téléphone du directeur	téléphone	directeur
r_own-1	bureau du professeur	bureau	professeur
r_own-1	sac de l'étudiante	sac	étudiante
r_own-1	vélo de l'enfant	vélo	enfant
r_own-1	lunettes de grand-mère	lunettes	grand-mère
r_own-1	chien de la famille	chien	famille
r_own-1	appartement du propriétaire	appartement	propriétaire
r_own-1	tableau de Van Gogh	tableau	Van Gogh
r_own-1	collection du musée	collection	musée
r_own-1	archives de la mairie	archives	mairie
r_own-1	dossier de l'avocat	dossier	avocat
r_own-1	cahier de l'élève	cahier	élève
r_own-1	carte de crédit de Sophie	carte de crédit	Sophie
r_own-1	chaise de Monsieur Dupont	chaise	Monsieur Dupont
r_own-1	lampe de mon ami	lampe	mon ami
r_own-1	voiture de mes parents	voiture	mes parents
r_own-1	bureau du directeur	bureau	directeur
r_own-1	jardin de la voisine	jardin	la voisine
r_own-1	appartement du voisin	appartement	voisin
r_own-1	vélo de mon frère	vélo	mon frère
r_own-1	livre de ma cousine	livre	ma cousine
r_own-1	montre de l’oncle	montre	l’oncle
r_own-1	ordinateur du collègue	ordinateur	collègue
r_own-1	sac de la secrétaire	sac	secrétaire
r_own-1	téléphone de la directrice	téléphone	directrice
r_own-1	chaussures de mon cousin	chaussures	mon cousin
r_own-1	robe de ma tante	robe	ma tante
r_own-1	chien du voisin	chien	voisin
r_own-1	chat de l’amie	chat	l’amie
r_own-1	table de la salle de réunion	table	salle de réunion
r_own-1	livre de la bibliothèque	livre	bibliothèque
r_own-1	vélo de l’école	vélo	école
r_own-1	ordinateur du laboratoire	ordinateur	laboratoire
r_own-1	montre de l’employé	montre	employé
r_own-1	lampe de la chambre	lampe	chambre
r_own-1	cahier de l’étudiant	cahier	étudiant
r_own-1	bureau de l’avocat	bureau	avocat
r_own-1	maison de mes grands-parents	maison	mes grands-parents
r_own-1	voiture du voisin	voiture	voisin
r_own-1	tableau de l’artiste	tableau	artiste
r_own-1	sac de l’adolescente	sac	adolescente
r_own-1	téléphone de mon cousin	téléphone	mon cousin
r_own-1	ordinateur de mon frère	ordinateur	mon frère
r_own-1	livre du professeur	livre	professeur
r_own-1	chien de la voisine	chien	la voisine
r_own-1	chat du voisin	chat	voisin
r_own-1	montre de mon oncle	montre	mon oncle
r_own-1	robe de ma sœur	robe	ma sœur
r_own-1	voiture de mon ami	voiture	mon ami
r_own-1	bureau de la directrice	bureau	directrice
r_own-1	appartement du voisin	appartement	voisin
r_own-1	lunettes de ma cousine	lunettes	ma cousine
r_own-1	sac de mon frère	sac	mon frère
r_own-1	chaussures de l’étudiante	chaussures	étudiante
r_own-1	livre de la bibliothèque	livre	bibliothèque
r_own-1	téléphone du professeur	téléphone	professeur
r_own-1	ordinateur de l’employé	ordinateur	employé
r_own-1	voiture de la voisine	voiture	la voisine
r_own-1	chien de mon cousin	chien	mon cousin
r_own-1	chat de mon frère	chat	mon frère
r_own-1	montre de l’amie	montre	l’amie
r_own-1	robe de la tante	robe	la tante
r_own-1	bureau de la secrétaire	bureau	secrétaire
r_own-1	sac de l’étudiante	sac	étudiante
r_own-1	téléphone du directeur	téléphone	directeur
r_own-1	appartement de mes parents	appartement	mes parents
r_own-1	voiture du voisin	voiture	voisin
r_own-1	livre de la voisine	livre	la voisine
r_own-1	ordinateur du professeur	ordinateur	professeur
r_own-1	montre de mon ami	montre	mon ami
r_own-1	lampe de l’appartement	lampe	appartement
r_own-1	chaise du bureau	chaise	bureau
r_own-1	téléphone de la secrétaire	téléphone	secrétaire
r_own-1	sac de la directrice	sac	directrice
r_own-1	bureau de mon oncle	bureau	mon oncle
r_own-1	livre de mon cousin	livre	mon cousin
r_own-1	chat de ma cousine	chat	ma cousine
r_own-1	chien de mon frère	chien	mon frère
r_own-1	voiture de l’amie	voiture	l’amie
r_own-1	tableau de la galerie	tableau	galerie
r_own-1	appartement de la famille	appartement	famille
r_own-1	sac de mon cousin	sac	mon cousin
r_own-1	montre de la grand-mère	montre	grand-mère
r_own-1	ordinateur de l’entreprise	ordinateur	entreprise
r_own-1	livre du musée	livre	musée
r_own-1	chaise de la salle	chaise	salle
r_own-1	téléphone du voisin	téléphone	voisin
r_own-1	voiture de l’entreprise	voiture	entreprise
r_own-1	bureau de mon frère	bureau	mon frère
r_own-1	chat de la famille	chat	famille
r_own-1	livre de ma sœur	livre	ma sœur
r_own-1	appartement du professeur	appartement	professeur
r_own-1	sac de l’étudiant	sac	étudiant
r_own-1	montre de mon cousin	montre	mon cousin
r_has_causatif	dégâts de la tempête	dégâts	tempête
r_has_causatif	retard du train	retard	train
r_has_causatif	blessures de l'accident	blessures	accident
r_has_causatif	effets de la pollution	effets	pollution
r_has_causatif	traces de l'incendie	traces	incendie
r_has_causatif	séquelles de la maladie	séquelles	maladie
r_has_causatif	conséquences de la crise	conséquences	crise
r_has_causatif	résultats de l'enquête	résultats	enquête
r_has_causatif	fruits du travail	fruits	travail
r_has_causatif	bénéfices de l'investissement	bénéfices	investissement
r_has_causatif	ravages de la guerre	ravages	guerre
r_has_causatif	victimes de l'épidémie	victimes	épidémie
r_has_causatif	impacts du réchauffement	impacts	réchauffement
r_has_causatif	répercussions de la décision	répercussions	décision
r_has_causatif	dommages de l'inondation	dommages	inondation
r_has_causatif	échec de la négociation	échec	négociation
r_has_causatif	succès de l'entreprise	succès	entreprise
r_has_causatif	ruines du tremblement	ruines	tremblement
r_has_causatif	pertes de la bataille	pertes	bataille
r_has_causatif	gains de la fusion	gains	fusion
r_has_causatif	dégâts de l'ouragan	dégâts	ouragan
r_has_causatif	retard de l'avion	retard	avion
r_has_causatif	blessures de l'accident de voiture	blessures	accident de voiture
r_has_causatif	effets du changement climatique	effets	changement climatique
r_has_causatif	traces de l'explosion	traces	explosion
r_has_causatif	séquelles de l'incendie	séquelles	incendie
r_has_causatif	conséquences du tremblement de terre	conséquences	tremblement de terre
r_has_causatif	résultats du test	résultats	test
r_has_causatif	fruits de l'effort	fruits	effort
r_has_causatif	ravages de l'épidémie	ravages	épidémie
r_has_causatif	victimes de la guerre	victimes	guerre
r_has_causatif	impacts de la tempête	impacts	tempête
r_has_causatif	répercussions du changement	répercussions	changement
r_has_causatif	dommages de la catastrophe	dommages	catastrophe
r_has_causatif	échec de l'opération	échec	opération
r_has_causatif	succès du projet	succès	projet
r_has_causatif	ruines du séisme	ruines	séisme
r_has_causatif	pertes de l'armée	pertes	armée
r_has_causatif	gains du secteur	gains	secteur
r_has_causatif	dégâts de l'averse	dégâts	averse
r_has_causatif	retard du métro	retard	métro
r_has_causatif	blessures de la chute	blessures	chute
r_has_causatif	effets de la sécheresse	effets	sécheresse
r_has_causatif	traces du déraillement	traces	déraillement
r_has_causatif	séquelles de l'accident médical	séquelles	accident médical
r_has_causatif	conséquences du conflit	conséquences	conflit
r_has_causatif	résultats de l'expérience	résultats	expérience
r_has_causatif	fruits de la recherche	fruits	recherche
r_has_causatif	bénéfices de la vente	bénéfices	vente
r_has_causatif	ravages du feu	ravages	feu
r_has_causatif	victimes du tremblement	victimes	tremblement
r_has_causatif	impacts du séisme	impacts	séisme
r_has_causatif	répercussions de l'erreur	répercussions	erreur
r_has_causatif	dommages du cyclone	dommages	cyclone
r_has_causatif	échec du projet	échec	projet
r_has_causatif	succès du lancement	succès	lancement
r_has_causatif	ruines de l'édifice	ruines	édifice
r_has_causatif	pertes de l'entreprise	pertes	entreprise
r_has_causatif	gains du commerce	gains	commerce
r_has_causatif	dégâts de l'avalanche	dégâts	avalanche
r_has_causatif	retard du bateau	retard	bateau
r_has_causatif	blessures du joueur	blessures	joueur
r_has_causatif	effets du virus	effets	virus
r_has_causatif	traces de l'accident	traces	accident
